city_name,city_id,OBJECTID,CT20,pct_censustract
San Dimas,86,1378,408900,0.0007
Unincorporated,31,1378,408900,0.146
Unincorporated,31,1378,408900,0.0009
Diamond Bar,6,1379,409000,0.0002
Industry,3,1379,409000,0
Pomona,119,1379,409000,0.9998
Unincorporated,31,1379,409000,0
Walnut,113,1379,409000,0
Industry,3,1380,409100,0.0012
Unincorporated,31,1380,409100,0.9988
Azusa,114,1381,430003,0.0009
Bradbury,57,1381,430003,0.0001
Duarte,115,1381,430003,0.999
Monrovia,56,1381,430003,0
Unincorporated,31,1381,430003,0
Bradbury,57,1382,430004,0.0009
Duarte,115,1382,430004,0.9931
Irwindale,116,1382,430004,0.006
Azusa,114,1383,430005,0.0048
Bradbury,57,1383,430005,0
Duarte,115,1383,430005,0.9921
Irwindale,116,1383,430005,0.0031
Bradbury,57,1384,430101,0.0017
Duarte,115,1384,430101,0.9972
Monrovia,56,1384,430101,0.0007
Unincorporated,31,1384,430101,0.0005
Duarte,115,1385,430102,0.9983
Irwindale,116,1385,430102,0.0006
Monrovia,56,1385,430102,0.0002
Unincorporated,31,1385,430102,0.0009
Bradbury,57,1386,430200,0.9827
Duarte,115,1386,430200,0
Monrovia,56,1386,430200,0.0027
Unincorporated,31,1386,430200,0.0146
Arcadia,117,1387,430301,0
Bradbury,57,1387,430301,0
Duarte,115,1387,430301,0
Monrovia,56,1387,430301,0.9999
Unincorporated,31,1387,430301,0
Arcadia,117,1388,430302,0
Monrovia,56,1388,430302,1
Arcadia,117,1389,430400,0.9978
Monrovia,56,1389,430400,0.0017
Sierra Madre,54,1389,430400,0.0004
Unincorporated,31,1389,430400,0
Arcadia,117,1390,430501,0
Pasadena,47,1390,430501,0
Sierra Madre,54,1390,430501,0.9998
Unincorporated,31,1390,430501,0.0001
Arcadia,117,1391,430502,0.0001
Pasadena,47,1391,430502,0
Sierra Madre,54,1391,430502,0.9999
Arcadia,117,1392,430600,0.9966
Pasadena,47,1392,430600,0.0018
Sierra Madre,54,1392,430600,0.0013
Unincorporated,31,1392,430600,0.0003
Arcadia,117,1393,430701,0.9959
Unincorporated,31,1393,430701,0.0041
Arcadia,117,1394,430721,1
Arcadia,117,1395,430723,0.9999
Unincorporated,31,1395,430723,0.0001
Arcadia,117,1396,430724,1
Unincorporated,31,1396,430724,0
Arcadia,117,1397,430801,0.9915
Monrovia,56,1397,430801,0.0085
Arcadia,117,1398,430802,0.9998
Monrovia,56,1398,430802,0.0002
Arcadia,117,1399,430803,0.9992
Unincorporated,31,1399,430803,0.0008
Monrovia,56,1400,430901,1
Arcadia,117,1401,430902,0
Monrovia,56,1401,430902,1
Bradbury,57,1402,431002,0
Duarte,115,1402,431002,0.0014
Monrovia,56,1402,431002,0.9986
Monrovia,56,1403,431003,1
Monrovia,56,1404,431004,1
Duarte,115,1405,431100,0.0002
Monrovia,56,1405,431100,0.9613
Unincorporated,31,1405,431100,0.0386
Duarte,115,1406,431200,0.0003
Irwindale,116,1406,431200,0.0004
Monrovia,56,1406,431200,0.1205
Unincorporated,31,1406,431200,0.8788
Arcadia,117,1407,431300,0.1959
Monrovia,56,1407,431300,0.1584
Unincorporated,31,1407,431300,0.6457
Arcadia,117,1408,431400,0.0035
Irwindale,116,1408,431400,0.0009
Monrovia,56,1408,431400,0.3015
Unincorporated,31,1408,431400,0.6941
Arcadia,117,1409,431501,0.0002
El Monte,111,1409,431501,0.1682
Temple City,51,1409,431501,0.8315
Unincorporated,31,1409,431501,0.0001
Arcadia,117,1410,431502,0.4041
El Monte,111,1410,431502,0.0447
Irwindale,116,1410,431502,0.0008
Monrovia,56,1410,431502,0
Temple City,51,1410,431502,0.0045
Unincorporated,31,1410,431502,0.5458
Unincorporated,31,1410,431502,0
Arcadia,117,1411,431600,0.9962
Temple City,51,1411,431600,0.0038
Arcadia,117,1412,431701,1
Temple City,51,1412,431701,0
Unincorporated,31,1412,431701,0
Arcadia,117,1413,431800,0.2291
Temple City,51,1413,431800,0.4254
Unincorporated,31,1413,431800,0.3456
Arcadia,117,1414,431900,0.0001
Temple City,51,1414,431900,0.9999
Arcadia,117,1415,432001,0.0001
Temple City,51,1415,432001,0.9999
Arcadia,117,1416,432002,0.0001
Temple City,51,1416,432002,0.9999
El Monte,111,1417,432101,0.0053
Temple City,51,1417,432101,0.9947
El Monte,111,1418,432102,0.0037
Rosemead,87,1418,432102,0
Temple City,51,1418,432102,0.9963
Rosemead,87,1419,432201,1
San Gabriel,49,1419,432201,0
Unincorporated,31,1419,432201,0
El Monte,111,1420,432202,0
Rosemead,87,1420,432202,1
Temple City,51,1420,432202,0
Unincorporated,31,1420,432202,0
El Monte,111,1421,432300,0.9909
Temple City,51,1421,432300,0.0091
Arcadia,117,1422,432401,0
El Monte,111,1422,432401,1
El Monte,111,1423,432402,1
Arcadia,117,1424,432501,0
El Monte,111,1424,432501,1
Arcadia,117,1425,432502,0.4678
El Monte,111,1425,432502,0.5321
Irwindale,116,1425,432502,0.0001
El Monte,111,1426,432601,1
